r_A,rdf_Nd1_O,rdf_Ne2_O,rdf_Nd1_H,rdf_Ne2_H
2.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.175817982175973220e-02,2.413017811380403221e-01
2.525000000000000355e+00,3.427053998507742418e-04,0.000000000000000000e+00,3.427053998507742505e-02,2.186460451047939624e-01
2.575000000000000178e+00,2.636208635675051787e-03,3.295260794593814734e-04,4.184981209134144842e-02,1.991985150331961052e-01
2.625000000000000000e+00,1.141533492723408039e-02,1.553753920651305444e-02,5.628394304400136799e-02,1.788402471933339399e-01
2.674999999999999822e+00,4.335967625767727512e-02,6.412346488811428158e-02,7.252058529012923860e-02,1.645835598794933297e-01
2.725000000000000089e+00,1.082830610758672013e-01,2.330439792719750658e-01,9.474767844138380635e-02,1.559511477451348271e-01
2.775000000000000355e+00,2.508259375180516559e-01,5.271884523852261584e-01,1.092398031045813123e-01,1.787560414438603418e-01
2.825000000000000178e+00,4.186172760573166340e-01,9.311428095951170825e-01,1.273100283627549012e-01,1.707049520089842509e-01
2.875000000000000000e+00,5.738932049556122461e-01,1.220745656602955975e+00,1.780364226336272893e-01,1.859667755349024287e-01
2.925000000000000266e+00,6.323335540375529806e-01,1.342304184176647208e+00,1.900065283537719918e-01,1.909003762694147233e-01
2.975000000000000089e+00,6.495230813024729377e-01,1.288183746954125297e+00,2.195936073046559078e-01,2.131749071473528490e-01
3.025000000000000355e+00,5.651913620571292762e-01,1.153783126937071746e+00,2.384214512099888661e-01,2.399735187441550399e-01
3.075000000000000178e+00,4.690877940375733357e-01,9.732994031952014735e-01,2.536078098306585038e-01,2.675880125593644854e-01
3.125000000000000000e+00,4.040790562121711615e-01,7.918249058332633705e-01,2.684910672506120588e-01,3.095478262843514572e-01
3.175000000000000266e+00,3.572059432501995535e-01,6.775641860437644493e-01,2.986831248778974435e-01,3.500531543380293042e-01
3.225000000000000089e+00,3.142833399030861008e-01,5.581890602423126291e-01,3.232118438776055980e-01,4.155430790964600996e-01
3.275000000000000355e+00,2.839812280223778518e-01,4.968652906359968258e-01,3.546709598184790702e-01,4.743545835366619889e-01
3.325000000000000178e+00,2.753071792313127597e-01,4.268941185496307189e-01,3.815366184537324346e-01,5.240322941362711706e-01
3.375000000000000000e+00,2.666350303474279704e-01,3.869085296480304081e-01,4.030217257265800157e-01,5.633863914607165624e-01
3.425000000000000266e+00,2.682202302004652039e-01,3.730868896468970686e-01,4.190009776638516925e-01,6.155095490954425319e-01
3.475000000000000089e+00,2.694235106086946274e-01,3.711132439613382683e-01,4.320908954557171056e-01,6.263327615661493653e-01
3.525000000000000355e+00,2.630655465985099473e-01,3.589015913152131532e-01,4.442748017922028558e-01,6.080753075786413664e-01
3.575000000000000178e+00,2.622551899245103568e-01,3.381621679730648644e-01,4.438164752568636851e-01,6.007592812221183021e-01
3.625000000000000000e+00,2.658786469528178209e-01,3.633176007454076983e-01,4.376439016759327560e-01,5.765692359655383292e-01
3.675000000000000266e+00,2.680766734513480576e-01,3.722657969894700991e-01,4.350381260776554071e-01,5.620388434339065320e-01
3.725000000000000089e+00,2.643927394714837287e-01,3.785587526441017703e-01,4.386336961273483714e-01,5.589410534568383104e-01
3.775000000000000355e+00,2.681683080485193216e-01,3.889897069863313406e-01,4.384375510947632892e-01,5.242238108735778335e-01
3.825000000000000178e+00,2.626967378299446265e-01,3.993468316982785593e-01,4.641622860576850029e-01,5.248707703827972804e-01
3.875000000000000000e+00,2.692031842154280485e-01,4.369822498372596953e-01,4.891494614811683350e-01,5.226907230820635464e-01
3.925000000000000266e+00,2.730256451802461903e-01,4.267709955051224857e-01,5.349884330492927775e-01,5.145646964747705443e-01
3.975000000000000089e+00,2.876346790600319836e-01,4.574497684281662035e-01,5.504470384607967892e-01,5.099292687662826395e-01
4.025000000000000355e+00,2.928062702512558846e-01,4.682742378223677671e-01,5.695628186416644700e-01,5.299105646325124042e-01
4.075000000000000178e+00,2.772437498390289967e-01,5.085653028608670967e-01,5.566586064043721471e-01,5.098153340063207306e-01
4.125000000000000000e+00,3.013823187454871544e-01,5.173708403176683346e-01,5.576921219904774629e-01,5.106292247513547489e-01
4.175000000000000711e+00,3.101269073612385463e-01,5.262379778102180827e-01,5.087510321445378736e-01,5.283690034468959684e-01
4.224999999999999645e+00,3.242510316404566550e-01,5.553518046631754634e-01,4.812355345014931451e-01,5.252401573307661220e-01
4.275000000000000355e+00,3.206560866463289416e-01,5.597732280679016403e-01,4.528878658524586598e-01,5.342474732211487387e-01
4.325000000000000178e+00,3.376983467822363694e-01,5.901252327720021285e-01,4.269413550636713683e-01,5.271645240498903373e-01
4.375000000000000000e+00,3.500009411692198702e-01,6.031979690600645094e-01,3.994873756104647677e-01,5.330493786006758050e-01
4.425000000000000711e+00,3.845404282731443302e-01,5.951114637204523161e-01,3.800210181323833702e-01,5.370286741336353087e-01
4.474999999999999645e+00,4.114564155785452315e-01,6.332784502831811935e-01,3.835786340404072070e-01,5.284230762786779056e-01
4.525000000000000355e+00,4.227959209837356958e-01,6.237360318399634007e-01,3.824051445848603570e-01,5.306825126330433351e-01
4.575000000000000178e+00,4.487855126924468752e-01,6.298029769884931905e-01,3.922045059747669149e-01,5.257753511689947645e-01
4.625000000000000000e+00,4.834668531880708664e-01,6.384254875185807476e-01,3.896438435423402180e-01,5.235088997652362908e-01
4.675000000000000711e+00,5.437629236493244367e-01,6.319406950519176336e-01,3.985995176668241657e-01,5.219684177924477364e-01
4.724999999999999645e+00,5.748892228641414581e-01,6.188329172914481813e-01,4.074823424233661728e-01,5.107353438060132644e-01
4.775000000000000355e+00,6.072826736360088518e-01,6.256822749202307632e-01,4.171534603657167106e-01,5.060369509444445635e-01
4.825000000000000178e+00,6.344626744598845791e-01,6.086524325254958345e-01,4.108521238828616862e-01,4.960728499789526791e-01
4.875000000000000000e+00,6.685882293098052154e-01,6.158146259511930731e-01,4.236598680775003900e-01,4.954650670724065620e-01
4.925000000000000711e+00,6.827372690096393804e-01,6.189586720365790606e-01,4.325774331421412544e-01,4.908609815059407633e-01
4.974999999999999645e+00,6.785290685023822599e-01,6.275908337214982646e-01,4.405671762114414247e-01,4.763210498444709340e-01
5.025000000000000355e+00,6.946010747979050048e-01,6.027029383290654074e-01,4.467703188216747834e-01,4.771434317223929300e-01
5.075000000000000178e+00,6.489985588726064902e-01,5.821474654880818278e-01,4.629098871226636769e-01,4.746597303127102485e-01
5.125000000000000000e+00,6.057834354462063864e-01,5.423932984220358744e-01,4.672318957956080876e-01,4.705178674654961757e-01
5.175000000000000711e+00,5.610088142029440172e-01,5.094443042296659119e-01,4.866808575800700143e-01,4.608986025934309061e-01
5.224999999999999645e+00,5.231912651080993237e-01,4.824532577744565787e-01,4.867751681792045204e-01,4.577223260139544059e-01
5.275000000000000355e+00,4.757063983820957187e-01,4.314966423092796433e-01,4.931390197820338384e-01,4.548579254916291781e-01
5.325000000000001066e+00,4.456241108371485349e-01,4.028571418738738363e-01,5.117395331263191460e-01,4.654279144832054183e-01
5.375000000000000000e+00,4.418342588853722552e-01,3.848843792310269740e-01,5.187506302113605861e-01,4.524981805736361107e-01
5.425000000000000711e+00,4.212546186511202384e-01,3.686163520625329593e-01,5.114969501580707290e-01,4.478336023446523595e-01
5.474999999999999645e+00,4.013496097552508024e-01,3.560100788312104969e-01,5.072633371389012602e-01,4.560194621556210026e-01
5.525000000000000355e+00,3.914698307165613844e-01,3.414355627204238020e-01,4.855256649753951215e-01,4.486620769667958863e-01
5.575000000000001066e+00,3.832140565386492059e-01,3.276054858686672788e-01,4.759418753928921775e-01,4.392092860438838731e-01
5.625000000000000000e+00,3.623439834552739103e-01,3.193903036936615036e-01,4.606816683114412503e-01,4.316085185049479689e-01
5.675000000000000711e+00,3.493383415120414059e-01,3.149404896676822885e-01,4.399464897135040853e-01,4.263433944575001355e-01
5.724999999999999645e+00,3.517962899046832015e-01,3.083300816390296961e-01,4.287954778599435968e-01,4.114956603063590901e-01
5.775000000000000355e+00,3.344621365730077178e-01,2.947590896066526467e-01,4.031562698143003054e-01,4.070545062738681330e-01
5.825000000000001066e+00,3.266842822244370725e-01,2.977057829141676604e-01,3.814214475882792832e-01,3.905335757047306844e-01
5.875000000000000000e+00,3.137406831324781042e-01,2.948757268020748556e-01,3.673285540508886560e-01,3.747352650933624130e-01
5.925000000000000711e+00,3.082188904647150673e-01,3.034263107866490006e-01,3.536550354645620065e-01,3.651074336563042144e-01
5.974999999999999645e+00,2.985529355419330733e-01,2.977572840121985309e-01,3.448231321941884198e-01,3.539425228042228366e-01
6.025000000000000355e+00,2.950629059914589569e-01,2.954240600991596688e-01,3.306967779512597905e-01,3.406285159130286178e-01
6.075000000000001066e+00,2.975674144932419218e-01,3.083428361879833046e-01,3.251572304808764136e-01,3.405802928516463157e-01
6.125000000000000000e+00,2.930202421362870235e-01,3.127063565950556900e-01,3.137256080833055183e-01,3.260731118266751993e-01
6.175000000000000711e+00,2.827930706856807697e-01,3.109291188531922434e-01,3.117027169188977820e-01,3.289510886061094985e-01
6.224999999999999645e+00,2.851476590848403547e-01,3.194871734970744503e-01,2.996108535786631277e-01,3.216580623392272242e-01
6.275000000000000355e+00,2.833961872937479920e-01,3.246820230772898830e-01,2.990448508568646635e-01,3.251259567953924678e-01
6.325000000000001066e+00,2.792610552607454055e-01,3.222999192438213978e-01,2.882183822826038799e-01,3.204702213460637328e-01
6.375000000000000000e+00,2.732847569044871694e-01,3.311890817492899597e-01,2.860000520073616714e-01,3.181511998784778417e-01
6.425000000000000711e+00,2.746585470453686839e-01,3.340999708904157095e-01,2.799516391063702203e-01,3.171356108349058789e-01
6.474999999999999645e+00,2.769476917924210690e-01,3.415201777033751163e-01,2.744200359678195533e-01,3.186670420520810176e-01
6.525000000000000355e+00,2.682546422565197930e-01,3.472889160416814947e-01,2.714622020692292748e-01,3.165989837536771767e-01
6.575000000000001066e+00,2.712663297708857724e-01,3.465254251740623737e-01,2.712157863891508924e-01,3.214811795244492121e-01
6.625000000000000000e+00,2.701244316650330268e-01,3.429574658570608836e-01,2.659924140041045604e-01,3.223969442430434373e-01
